"concept_id","concept_name","concept_code","vocabulary_id"
36036202,"deferasirox 360 MG Oral Tablet [Exjade] Box of 90 by Haematogmbh","OMOP5046206","RxNorm Extension"
42926811,"deferasirox 1000 MG","OMOP4653621","RxNorm Extension"
40720449,"deferasirox 180 MG Oral Tablet Box of 30","OMOP4736485","RxNorm Extension"
1594125,"deferasirox 250 MG [Exjade]","1869542","RxNorm"
1786061,"deferasirox 500 MG Tablet for Oral Suspension","597772","RxNorm"
2917480,"deferasirox 360 MG [Chealac]","OMOP5134303","RxNorm Extension"
36782134,"deferasirox 180 MG Delayed Release Oral Tablet Box of 90","OMOP4770420","RxNorm Extension"
40720453,"deferasirox 500 MG Tablet for Oral Suspension Box of 28","OMOP4736481","RxNorm Extension"
36509037,"deferasirox 360 MG Delayed Release Oral Tablet [Exjade] by Cc","OMOP4835964","RxNorm Extension"
40899047,"deferasirox 500 MG Disintegrating Oral Tablet Box of 294","OMOP2097009","RxNorm Extension"
2917511,"deferasirox 90 MG Oral Tablet [Jadenu] Box of 30","OMOP5134333","RxNorm Extension"
40720444,"deferasirox 90 MG Oral Tablet [Exjade] by Novartis","OMOP4736490","RxNorm Extension"
21095200,"deferasirox 250 MG Oral Tablet [Exjade] by Novartis","OMOP260987","RxNorm Extension"
21144304,"deferasirox 125 MG Oral Tablet Box of 28","OMOP261003","RxNorm Extension"
42918835,"280 ML deferasirox 25 MG/ML Oral Suspension [FEDUROW]","OMOP4645714","RxNorm Extension"
36782127,"deferasirox 90 MG Delayed Release Oral Tablet [Exjade] Box of 90","OMOP4770413","RxNorm Extension"
42926852,"deferasirox Disintegrating Oral Tablet [HEMOSIROX]","OMOP4653662","RxNorm Extension"
43195742,"deferasirox 500 MG Disintegrating Oral Tablet [Exjade] Box of 28 by Novartis","OMOP499917","RxNorm Extension"
19122189,"deferasirox 250 MG Tablet for Oral Suspension","597770","RxNorm"
40720438,"deferasirox 250 MG Tablet for Oral Suspension [Exjade] Box of 28 by Novartis","OMOP4736496","RxNorm Extension"
2917492,"deferasirox 250 MG Effervescent Oral Tablet Box of 10 by Pharmacor","OMOP5134314","RxNorm Extension"
43037299,"deferasirox 90 MG Delayed Release Oral Tablet [Exjade] Box of 30","OMOP4852345","RxNorm Extension"
40720454,"deferasirox 125 MG Tablet for Oral Suspension [Exjade] Box of 28 by Novartis","OMOP4736480","RxNorm Extension"
43037297,"deferasirox 180 MG Delayed Release Oral Tablet [Exjade] Box of 30 by Novartis","OMOP4852343","RxNorm Extension"
46221233,"deferasirox 180 MG [Jadenu]","1607786","RxNorm"
1594123,"deferasirox Tablet for Oral Suspension [Exjade]","1869537","RxNorm"
2917513,"deferasirox Effervescent Oral Tablet","OMOP5134335","RxNorm Extension"
42926832,"deferasirox 125 MG [J-JADE]","OMOP4653642","RxNorm Extension"
35759308,"deferasirox 125 MG Disintegrating Oral Tablet [Exjade] by Novartis","OMOP2760769","RxNorm Extension"
