concept_id,concept_name,concept_code,vocabulary_id
38001998,Therapeutic Phlebotomy,0372,APC
3174845,Therapeutic phlebotomy at bedside,74768004,Nebraska Lexicon
4253522,Therapeutic phlebotomy at bedside,74768004,SNOMED
3416031,Therapeutic phlebotomy,127606004,Nebraska Lexicon
4132738,Therapeutic phlebotomy,127606004,SNOMED
4101102,Therapeutic phlebotomy in laboratory,27932008,SNOMED
2414388,"Phlebotomy, therapeutic (separate procedure)",99195,CPT4
3306775,Therapeutic phlebotomy in laboratory,27932008,Nebraska Lexicon
