"concept_id","concept_code","concept_name","vocabulary_id"
4232474,"89810003","Agamma delta beta0 thalassemia","SNOMED"
4099005,"27080008","beta0 Thalassemia deletion type","SNOMED"
4009304,"111572002","beta0 Thalassemia nondeletion type","SNOMED"
4100992,"191189009","Beta thalassemia intermedia","SNOMED"
4315393,"86715000","Beta zero thalassemia","SNOMED"
4297017,"76336008","Delta beta zero thalassemia","SNOMED"
4248254,"73190000","epsilon gamma delta beta0 Thalassemia","SNOMED"
4203904,"54006005","Hereditary persistence of fetal hemoglobin delta beta plus thalassemia","SNOMED"
4132431,"26682008","Homozygous beta thalassemia","SNOMED"
